author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
Wonder House Books, Board Book,Home::General,, 0.5 mm, 9389178193, 9789389178197, Hindi, 16,₹117, Wonder House Books, 02 Jul 2019,,,My First All in One (English - Hindi): Bilingual Picture Board Book for Kids,https://www.bookswagon.com/book/my-first-all-in-one/9789389178197, 700 gr, 21.5 mm
RPH Editorial Board, Paperback,Home::Society & social sciences::Education,, 246 mm, 8178128586, 9788178128580, Hindi, 502,₹264, Ramesh Publishing House, 01 Oct 2020, N, KVS/NAVODAYA TEACHERS,KVS Primary Teachers (PRT) Recruitment Exam Guide,https://www.bookswagon.com/book/kvs-primary-teachers-prt-recruitment/9788178128580, 888 gr, 189 mm
Jehan Zachary, Paperback,"Home::Children & Teens::Children’s & young adult fiction & true stories::Horror & ghost stories, chillers (children’s/ya)",, 196 mm, 0143458485, 9780143458487, English, 208,₹205, Penguin Random House India Pvt. Ltd, 05 Sep 2023, Y, A Thrilling Horror Fiction Based on a Popular Urban Legend about the Black Taj Mahal,Grabber,https://www.bookswagon.com/book/grabber-jehan-zachary-nirmal-pulickal/9780143458487, 181 gr, 124 mm
"Rastogi, Sudha", Paperback,Home::General,, 40 mm, 8122449557, 9788122449556, English, 670,₹512, New Age International Private Limited, 01 Mar 2021,,,Golden Social Science: (With Sample Papers) A book with Difference Class- 9 (For 2022 Final Exams),https://www.bookswagon.com/book/golden-social-science-rastogi-sudha/9788122449556,, 140 mm
Brian Tracey, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Advice on careers & achieving success",, 216 mm, 8183221785, 9788183221788, Hindi, 248,₹271, Repro Books Limited, 01 Jan 2010, N,,Lakshya (Goals) (Hindi),https://www.bookswagon.com/book/lakshya-goals-hindi-tracey-brian/9788183221788, 317 gr, 140 mm
Makoto Yukimura, Hardback,Home::Fiction::Graphic novels::Graphic novels: manga, 38, 213 mm, 1612624200, 9781612624204, English, 470,"₹1,087", Kodansha Comics, 05 Nov 2013, Y,,Vinland Saga 1,https://www.bookswagon.com/book/vinland-saga-1-makoto-yukimura/9781612624204, 634 gr, 163 mm
Burke Hedges, Paperback,Home::Business & Economics::Business & management::Sales & marketing,, 216 mm, 938824186X, 9789388241861, Hindi, 142,₹188, Manjul Publishing House, 05 Jun 2019, N,,The Parable of Pipeline,https://www.bookswagon.com/book/parable-pipeline-burke-hedges/9789388241861, 186 gr, 140 mm
H L Ahuja , Paperback,Home::Business & Economics::Economics,, 39.99992 mm, 9352837339, 9789352837335, English, 1368,₹620, Eastern Book Co. (EBC), 01 Jan 2019,,,Advanced Economic Theory,https://www.bookswagon.com/book/advanced-economic-theory-h-l/9789352837335,, 139.99972 mm
"Singh, Sheelwant|Rastogi, Kriti|Sarika", Paperback,Home::General,, 39.99992 mm, 9389811392, 9789389811391, English, 584,₹440, Paras Medical Publisher India, 30 Mar 2020,,,NCERT General Studies - For Civil Services & State Services Preliminary Examinations,https://www.bookswagon.com/book/ncert-general-studies-civil-state/9789389811391,, 139.99972 mm
Ryan Holiday, Hard Cover,Home::Business & Economics::Business & management::Management & management techniques::Management decision making,, 182 mm, 1788162056, 9781788162050, English, 288,₹468, Profile Books Ltd, 10 Oct 2019,,,Stillness Is The key: An Ancient Strategy For Modern Life,https://www.bookswagon.com/book/stillness-key-ryan-holiday/9781788162050, 386 gr, 136 mm
Rabindranath Tagore, Paperback,Home::General,, 2.5 mm, 9390391040, 9789390391042, English, 372,₹207, Fingerprint! Publishing, 01 Nov 2020,,,Selected Stories of Rabindranath Tagore,https://www.bookswagon.com/book/selected-stories-rabindranath-tagore-rabindranath/9789390391042, 700 gr, 19.7 mm
Wonder House Books, Board Book,Home::Society & social sciences::Education::Schools::Pre-school & kindergarten,, 1.3 mm, 9386538504, 9789386538505, English, 22,₹47, Wonder House Books, 25 Apr 2018, Y, First Board Book,My First Book Of Fruits: First Board Book,https://www.bookswagon.com/book/my-first-book-fruits-wonder/9789386538505, 2492 gr, 9.0 mm
Amir Levine, Paperback,"Home::Parenting, Family & Health::Family & health::Family & relationships::Dating, relationships, living together & marriage",, 197 mm, 1529032172, 9781529032178,, 304,₹442, Pan MacMillan, 22 Aug 2019,,,Attached,https://www.bookswagon.com/book/attached-amir-levine-rachel-heller/9781529032178, 217 gr, 132 mm
Ramanand Thakur, Paperback,Home::General,,, 8178125234, 9788178125237, English, 288,₹36, Ramesh Publishing House, 2015,, RPH POCKET-BOOK SERIES,Chemistry Formulae & Definitions,https://www.bookswagon.com/book/chemistry-formulae-definitions-ramanand-thakur/9788178125237,,
R.K. Jain , Paperback,Home::General,, 39.99992 mm, 938739476X, 9789387394766, English,,₹868, Khanna (2019), 01 Jan 2019,,,Conventional & Objective Type Questions & Answers on Mechanical Engineering for Competitions (with Guidelines to Interview Preparation and Sample Interview Preparation and Sample Interviews),https://www.bookswagon.com/book/conventional-objective-type-questions-answers/9789387394766,, 139.99972 mm
R K GUPTA, Paperback,Home::Society & social sciences::Education,, 216 mm, 9387918629, 9789387918627, Hindi, 522,₹168, Repro Books Limited, 01 Oct 2020, N," Handbook of NCC Cadets for 'A', 'B' and 'C' Certificate Examinations",Ncc,https://www.bookswagon.com/book/ncc-r-k-gupta/9789387918627, 598 gr, 140 mm
"Bhatia, Gautam", Paperback,Home::General,, 40 mm, 9354227635, 9789354227639, English, 468,₹324, HarperCollins India, 10 Nov 2021,,,The Horizon,https://www.bookswagon.com/book/horizon-bhatia-gautam/9789354227639, 500 gr, 140 mm
Dreamland Publications, PaperBack,Home::Children & Teens,, 220 mm, 9387971473, 9789387971479, English, 64,₹196, Dreamland Publications, 2018,,,101 Fairy Tales Book,https://www.bookswagon.com/book/101-fairy-tales-book-dreamland/9789387971479, 180 gr, 280 mm
Kafeel Khan, Paperback,Home::General,, 198 mm, 9390742714, 9789390742714, English, 344,₹309, Pan, 17 Dec 2021,,,The Gorakhpur Hospital Tragedy: A Doctor's Memoir of a Deadly Medical Crisis,https://www.bookswagon.com/book/gorakhpur-hospital-tragedy-kafeel-khan/9789390742714,, 21 mm
Vikram Sampath, Hardback,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military",, 234 mm, 067009031X, 9780670090310, English, 712,₹689, Penguin, 26 Jul 2021, Y," A Contested Legacy, 1924-1966",Savarkar (Part 2),https://www.bookswagon.com/book/savarkar-part-2-sampath-vikram/9780670090310, 1019 gr, 160 mm
Aprajita Sharma, Paperback,Home::Business & Economics::Finance & accounting::Finance::Investment & securities,, 201 mm, 0143460226, 9780143460220, English, 256,₹303, Penguin Random House India Pvt. Ltd, 15 Jun 2023, Y, How Rakesh Jhunjhunwala Made His Fortune,Big Bull of Dalal Street,https://www.bookswagon.com/book/big-bull-dalal-street-aprajita/9780143460220, 190 gr, 129 mm
DK , Paperback,Home::General,, 307 mm, 0241537444, 9780241537442, English, 360,₹689, Dk Children, 30 Jun 2021,,,Knowledge Encyclopedia: The World as You've Never Seen It Before (DKYR),https://www.bookswagon.com/book/knowledge-encyclopedia-dk/9780241537442,, 260 mm
Wonder House Books, Paperback,Home::General,, 0.9 mm, 9389717299, 9789389717297, English, 192,₹89, Wonder House Books, 05 Feb 2020,,,Word Search - Mind Teaser: Classic Word Puzzles For Everyone,https://www.bookswagon.com/book/word-search-mind-teaser-wonder/9789389717297, 110 gr, 13.8 mm
Ajay Yadav, Paperback,Home::Medicine::Other branches of medicine::Anaesthetics,, 239 mm, 9352704649, 9789352704644, English, 344,₹506, Jp Medical Ltd, 31 Jul 2018, N,,Short Textbook of Anesthesia,https://www.bookswagon.com/book/short-textbook-anesthesia-ajay-yadav/9789352704644, 616 gr, 170 mm
Ramdhari Singh Dinkar, Hardback,Home::General,,, 818031362X, 9788180313622, Hindi, 176,₹422, Lokbharti Prakashan, 2009,,,Rashmi Rathi,https://www.bookswagon.com/book/rashmi-rathi-ramdhari-singh-dinkar/9788180313622,,
"Eyal, Nir", Paperback,Home::General,, 46.999906 mm, 1526625334, 9781526625335, English, 336,₹413, Wisdom Village Publications, 30 Jan 2020,,,Indistractable: How to Control Your Attention and Choose Your Life,https://www.bookswagon.com/book/indistractable-eyal-nir/9781526625335, 294.8350405 gr, 253.999492 mm
 Joseph Conrad, Paperback,Home::Fiction::Historical fiction,, 10 mm, 9386538687, 9789386538680, English, 128 ,₹89, Fingerprint! Publishing, 15 February 2018, Y,,Heart of Darkness,https://www.bookswagon.com/book/heart-darkness-joseph-conrad/9789386538680,, 10 mm
Kahlil Gibran, Hardcover,Home::Literature & literary studies::Poetry,, 4.2 mm, 9387779025, 9789387779020, English, 632,₹551, Fingerprint! Publishing, 05 Mar 2018, Y, Collected Works of Kahlil Gibran (Deluxe Hardbound Edition),Kahlil Gibran: Collected Works of Kahlil Gibran (Deluxe Hardbound Edition),https://www.bookswagon.com/book/kahlil-gibran-kahlil-gibran/9789387779020, 652 gr, 14.5 mm
Aman, Paperback,Home::General,,, 1730127258, 9781730127250, English, 32,₹90, Dreamland Publications, 2013,,,Cursive Writing Book (Joining Letters) Part 1,https://www.bookswagon.com/book/cursive-writing-book-joining-letters/9781730127250,,
Robin Campbell, Paperback,"Home::History & Humanities::Philosophy::History of western philosophy::Western philosophy: ancient, to c 500", 13, 197 mm, 0140442103, 9780140442106, English, 254,₹333, Penguin Books, 30 Jul 1969, Y, Epistulae Morales Ad Lucilium,Letters from a Stoic,https://www.bookswagon.com/book/letters-from-a-stoic-robin/9780140442106, 194 gr, 129 mm
"Kuber, Girish", Paperback,Home::General,, 39.99992 mm, 9353579821, 9789353579821, English, 280,₹293, HarperBusiness, 10 Sep 2020,,,The Tatas: How a Family Built a Business and a Nation,https://www.bookswagon.com/book/tatas-kuber-girish/9789353579821, 499.9999996 gr, 139.99972 mm
Wonder House Books, Paperback,Home::General,, 0.8 mm, 9390183782, 9789390183784, English, 32,₹107, Wonder House Books, 25 Oct 2020,,,Cursive Handwriting - Joining Letters: Practice Workbook For Children,https://www.bookswagon.com/book/cursive-handwriting-joining-letters-wonder/9789390183784, 700 gr, 27.6 mm
Wonder House Books, Paperback,Home::Children & Teens::Children’s & young adult reference material::Encyclopaedias (children’s/ya),, 1.0 mm, 9390391423, 9789390391424, English, 32,₹119, Wonder House Books, 12 Oct 2020, Y, Solar System,Space - Solar System: Knowledge Encyclopedia For Children,https://www.bookswagon.com/book/space-solar-system-wonder-house/9789390391424, 700 gr, 27.6 mm
Wonder House Books, Paperback,Home::General,, 1.4 mm, 9388810627, 9789388810623, English, 16,₹119, Wonder House Books, 25 Jun 2019,,,Reusable Wipe And Clean Book - Small Letters : Write And Practice Small Letters,https://www.bookswagon.com/book/reusable-wipe-clean-book-small/9789388810623, 130 gr, 21.5 mm
Wonder House Books, Paperback,Home::General,,, 9354402879, 9789354402876, English, 96,₹207, Wonder House Books, 12 Aug 2021,,,101 Sight Words And Sentence (With 400+ Sentences To Read): Activity Book For Children,https://www.bookswagon.com/book/101-sight-words-sentence-with/9789354402876,, 210 mm
Durjoy Datta, PAPERBACK,Home::Fiction::Romance::Adult & contemporary romance,, 199 mm, 0143421565, 9780143421566, ENGLISH, 248,₹191, Penguin Books India Pvt Ltd, 01 Sep 2013, Y,,If it's Not Forever it's Not Love,https://www.bookswagon.com/book/if-forever-its-not-love/9780143421566, 188 gr, 130 mm
Pat Zietlow Miller, Paperback,Home::General,, 234 mm, 1529041902, 9781529041903,, 32,₹309, Pan MacMillan, 26 May 2020,,,Be Kind,https://www.bookswagon.com/book/kind-pat-zietlow-miller-jen/9781529041903, 184 gr, 264 mm
 Rabindranath Tagore, PAPERBACK,Home::Literature & literary studies::Literature: history & criticism::Literary studies: general,, 197 mm, 8172343671, 9788172343675, ENGLISH, 128,₹77, Prakash Books, 12 Jan 2017, Y,,"Gitanjali Song Offerings, (PB)",https://www.bookswagon.com/book/gitanjali-song-offerings-pb-rabindranath/9788172343675,, 127 mm
KVS Madaan, PAPERBACK,Home::General,,, 9332551731, 9789332551732, ENGLISH, 592,₹343, Pearson Education," May,2016",,,CBSE UGC NET / SET/ JRF Paper I,https://www.bookswagon.com/book/cbse-ugc-net-set-jrf/9789332551732,,
Michael Watkins, Hardback,"Home::Parenting, Family & Health::Self Help & Personal Development::Advice on careers & achieving success", 32, 218 mm, 1422188612, 9781422188613, English, 304,₹827, Harvard Business School Press, 14 May 2013, Y, Proven Strategies for Getting Up to Speed Faster and Smarter,"First 90 Days, Updated and Expanded",https://www.bookswagon.com/book/first-90-days-updated-expanded/9781422188613, 426 gr, 141 mm
Apj Abdul Kalam, Hardback,Home::Fiction::Modern & contemporary fiction,, 216 mm, 9351864499, 9789351864493, Hindi, 194,₹231, Prabhat Prakashan, 2013, N,,Agni Ki Udaan,https://www.bookswagon.com/book/agni-ki-udaan-apj-arun/9789351864493, 381 gr, 140 mm
 F Scott Fitzgerald, Paperback,Home::Fiction::Classic fiction,, 198 mm, 0143454226, 9780143454229, English, 352,₹119, Penguin, 30 Aug 2021, Y,,"Pride & Prejudice (Premium Paperback, Penguin India)",https://www.bookswagon.com/book/pride-prejudice-premium-paperback-penguin/9780143454229, 700 gr, 129 mm
Rhonda Byrne, Paperback,Home::General,, 40 mm, 9389143330, 9789389143331, Punjabi, 216,₹329, Manjul Publishing House, 20 Sep 2019,,,The Secret (Punjabi),https://www.bookswagon.com/book/secret-punjabi-rhonda-byrne/9789389143331,, 140 mm
Wonder House Books, Wall Chart,Home::General,, 0.1 mm, 9390391946, 9789390391943, English, 1,₹105, Wonder House Books, 12 Oct 2020,,,"Professions - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery And Homeschooling (19 Inches X 29 Inches)",https://www.bookswagon.com/book/professions-my-first-early-learning/9789390391943, 90 gr, 48.3 mm
Kevin Missal, Paperback,Home::Fiction::Romance,, 2.0 mm, 9389432960, 9789389432961, English, 368,₹239, Fingerprint! Publishing, 01 Oct 2019, Y, Book 3,Mahayoddha Kalki: Sword of Shiva (Book 3),https://www.bookswagon.com/book/mahayoddha-kalki-kevin-missal/9789389432961, 272 gr, 13.0 mm
Amar Chitra Katha, Paperback,Home::General,, 39.99992 mm, 9354222986, 9789354222986, English, 525,₹358, Harper Children's, 30 Mar 2021,,,Amar Chitra Katha Folktales Collection (Amar Chitra Katha Folktales Series),https://www.bookswagon.com/book/collection-amar-chitra-katha-folktales/9789354222986,, 139.99972 mm
Vikrant Pande, Paperback,Home::History & Humanities::Religion & Spirituality::Religion: general,,, 9394407979, 9789394407978,, 264,₹259, HarperCollins India, 24 Jun 2022,,,In The Footsteps Of Rama,https://www.bookswagon.com/book/in-footsteps-rama-vikrant-pande/9789394407978,,
Jordan B. Peterson, Paperback,Home::History & Humanities::Philosophy::Social & political philosophy,, 198 mm, 0141991194, 9780141991191,, 432,₹425, Penguin Books Ltd, 05 May 2022,,,Beyond Order,https://www.bookswagon.com/book/beyond-order-jordan-b-peterson/9780141991191, 227 gr, 129 mm
Ross Welford, paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya), 26, 130 mm, 000815631X, 9780008156312, English, 400,₹259, HarperCollins Publishers, 31 Dec 2015, Y,,Time Travelling with a Hamster,https://www.bookswagon.com/book/time-travelling-a-hamster-ross/9780008156312, 282 gr, 197 mm
Leo Tolstoy, Paperback,Home::Fiction::Romance,, 216 mm, 8184950314, 9788184950311, English, 380,₹245, Repro Knowledgcast Ltd, 08 Apr 2015, N,,Greatest Short Stories of Leo Tolstoy,https://www.bookswagon.com/book/greatest-short-stories-leo-tolstoy/9788184950311, 439 gr, 140 mm
Chintan Chandrachud, BPB,Home::General,,, 9391165338, 9789391165338,, 256,₹259, HarperCollins,,,,The Cases That India Forgot (PB),https://www.bookswagon.com/book/cases-that-india-forgot-pb/9789391165338,,
Dr Spencer Johnson, Hardback,"Home::Parenting, Family & Health::Self Help & Personal Development::Advice on careers & achieving success", 11, 206 mm, 0091883768, 9780091883768,, 96,₹425, Ebury Publishing, 01 Oct 2001, Y,,Who Moved My Cheese,https://www.bookswagon.com/book/who-moved-my-cheese-dr/9780091883768, 184 gr, 125 mm
Krishnarjun Bhattacharya, PAPERBACK,Home::General,, 7.75 mm, 8172345224, 9788172345228, ENGLISH, 448,₹269, Fingerprint  Publishing, 23 May 2014,,,Tantrics Of Old,https://www.bookswagon.com/book/tantrics-old-krishnarjun-bhattacharya/9788172345228, 700 gr, 5 mm
R. Svoboda, Paperback,Home::Fiction::Modern & contemporary fiction,, 216 mm, 8171673430, 9788171673438, English, 316,₹296, Rupa & Co, 30 Sep 1998, N,,Aghora - 2 (KUNDALINI),https://www.bookswagon.com/book/aghora-2-kundalini-r-robert/9788171673438, 331 gr, 140 mm
Patrick (TRN) Creagh, Paperback,Home::Art & Photography::Industrial / commercial art & design, 19, 178 mm, 0141035811, 9780141035819, English, 224,₹425, Penguin Books Ltd, 01 May 2009, Y,,Design as Art,https://www.bookswagon.com/book/design-as-art-patrick-trn/9780141035819, 159 gr, 109 mm
"Dasgupta, Koral", Paperback,Home::General,, 177.999644 mm, 9389109663, 9789389109665, English, 216,₹259, Pan, 21 Aug 2020,,,Ahalya: The Sati Series,https://www.bookswagon.com/book/ahalya-dasgupta-koral/9789389109665,, 99.9998 mm
Kathleen Glasgow, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya), 29, 130 mm, 1780749457, 9781780749457, English, 416,₹324, Oneworld Publications, 06 Oct 2016, Y,,Girl in Pieces,https://www.bookswagon.com/book/girl-in-pieces-kathleen-glasgow/9781780749457, 400 gr, 198 mm
Meghna Pant, Paperback,Home::Fiction::Modern & contemporary fiction,, 203 mm, 0143459856, 9780143459859, English, 304,₹270, Penguin Random House India Pvt. Ltd, 08 Aug 2023, Y,,One and a Half Wife,https://www.bookswagon.com/book/one-a-half-wife-meghna/9780143459859,, 127 mm
Mcgregor R. S. (Ed), Paperback,Home::General,,, 0195638468, 9780195638462, ENGLISH, 1083,₹680, Oxford University Press, 1993,,,Oxford Hindi English Dictionary,https://www.bookswagon.com/book/oxford-hindi-english-dictionary-mcgregor/9780195638462,,
Dalim Kumar Baidya & Hemanshu [Author]Prabhaka, Paperback,Home::General,, 30 mm, 8194864534, 9788194864530, English, 910,"₹1,073", Wolters Kluwer (India) Pvt. Ltd., 01 Nov 2021,,,"The Washington Manual of Critical Care, SAE: Vol. 1",https://www.bookswagon.com/book/washington-manual-critical-care-sae/9788194864530,, 127 mm
Wonder House Books, Board book,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: abc books / alphabet books",, 24 mm, 935440104X, 9789354401046, English, 16,₹332, Wonder House Books, 12 Aug 2021, Y, Capital and Small Letters,My Big Wipe And Clean Book of Alphabet for Kids : Capital And Small Letters,https://www.bookswagon.com/book/my-big-wipe-clean-book/9789354401046,, 225 mm
Chimamda Ngozi Adichie, Paperback,Home::Literature & literary studies::Prose: non-fiction::Literary essays, 160, 160 mm, 0008115273, 9780008115272,, 64,₹194, HarperCollins Publishers, 09 Oct 2014, Y,,We Should All Be Feminists,https://www.bookswagon.com/book/we-should-all-feminists-chimamda/9780008115272, 62 gr, 121 mm
Lucy Score, Paperback,Home::Fiction::Romance,, 198 mm, 1399713779, 9781399713771,, 560,₹413, Hodder & Stoughton, 21 Feb 2023,,,Things We Hide From The Light,https://www.bookswagon.com/book/things-we-hide-from-light/9781399713771, 408 gr, 129 mm
Kazuo Ishiguro, Paperback,Home::Fiction::Religious & spiritual fiction, 22, 126 mm, 0571258093, 9780571258093, English, 282,₹396, Faber & Faber, 25 Feb 2010, N,,Never Let Me Go,https://www.bookswagon.com/book/never-let-me-go-kazuo/9780571258093, 248 gr, 197 mm
Jim Kay, Hardcover,Home::Fiction::Fantasy,, 245 mm, 1408897318, 9781408897317, English, 3,"₹3,441", Bloomsbury Publishing PLC, 16 Nov 2017,,,Harry Potter - The Illustrated Collection,https://www.bookswagon.com/book/harry-potter-illustrated-collection-jk/9781408897317, 5944 gr, 291 mm
Clarissa Pinkola Estes, Paperback,Home::General, 45, 195 mm, 1846041090, 9781846041099, English, 560,₹538, Ebury Publishing, 07 Feb 2008, Y,,Women Who Run With The Wolves,https://www.bookswagon.com/book/women-who-run-wolves-clarissa/9781846041099, 382 gr, 129 mm
Tillie Cole, Paperback,Home::Fiction::Romance,, 129 mm, 1405955317, 9781405955317,, 352,₹396, Penguin Books Ltd, 04 Aug 2022,,,A Thousand Boy Kisses,https://www.bookswagon.com/book/thousand-boy-kisses-tillie-cole/9781405955317, 256 gr, 197 mm
Robert Dobbin, Paperback,"Home::History & Humanities::Philosophy::History of western philosophy::Western philosophy: ancient, to c 500", 19, 198 mm, 0140449469, 9780140449464, English, 304,₹303, Penguin Books, 25 Nov 2008, Y,,Discourses and Selected Writings,https://www.bookswagon.com/book/discourses-selected-writings-robert-dobbin/9780140449464, 227 gr, 131 mm
RPH Editorial Board, Paperback,Home::Society & social sciences::Education,, 246 mm, 9350124106, 9789350124109, Hindi, 414,₹216, Ramesh Publishing House, 2015, N, Librarian Recruitment Exam Guide (Hindi),Kvs,https://www.bookswagon.com/book/kvs-rph-editorial-board/9789350124109, 734 gr, 189 mm
CHETAN BHAGAT, Paperback,Home::Fiction::Classic fiction,, 198 mm, 8129135515, 9788129135513, English, 282,₹236, Rupa Publications, 01 Nov 2014, N,,3 Mistakes of My Life (English),https://www.bookswagon.com/book/3-mistakes-my-life-english/9788129135513, 276 gr, 129 mm
George Orwell, Paperback,Home::General,, 1.7 mm, 9390183367, 9789390183364, Hindi, 296,₹119, Fingerprint! Publishing, 01 Jul 2020,,,1984 (Hindi),https://www.bookswagon.com/book/1984-hindi-george-orwell/9789390183364, 350 gr, 12.6 mm
J. K. Rowling, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Fantasy & magical realism (children’s/ya), 28, 197 mm, 0751565369, 9780751565362,, 352,₹349," Little, Brown Book Group", 01 Jul 2017, Y,,Harry Potter and the Cursed Child - Parts One and Two,https://www.bookswagon.com/book/harry-potter-cursed-child-parts/9780751565362, 278 gr, 127 mm
Charles Dickens, PAPERBACK,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya),, 197 mm, 8175993782, 9788175993785, ENGLISH, 504,₹269, Fingerprint!Publishing, 8-June-2016, Y, Deluxe Hardbound Edition,Great Expectations,https://www.bookswagon.com/book/great-expectations-charles-dickens/9788175993785, 349 gr, 127 mm
CHETAN BHAGAT, Paperback,Home::Fiction::Classic fiction, 191, 203 mm, 8129135493, 9788129135490, English, 280,₹236, Rupa & Co, 01 Jan 2014, N, What Not to do at IIT,Five Point Someone,https://www.bookswagon.com/book/five-point-someone-chetan-bhagat/9788129135490, 294 gr, 133 mm
Sabita Mishra, Paperback,Home::General,, 39.99992 mm, 9388696530, 9789388696531, English,,₹940, Wolters Kluwer India PVt. LTd., 02 Jun 2019,,,"Langman's Medical Embryology, South Asia Edition",https://www.bookswagon.com/book/langmans-medical-embryology-south-asia/9789388696531,, 139.99972 mm
Wonder House Books, Paperback,Home::Children & Teens::Children’s & young adult reference material::Encyclopaedias (children’s/ya),, 30 mm, 9354400329, 9789354400322, English, 192,₹758, Wonder House Books, 12 Jun 2021, Y, Knowledge Encyclopedia for Children (Box Set),Animals - Collection of 6 Books : Knowledge Encyclopedia For Children (Box Set),https://www.bookswagon.com/book/animals-collection-6-books-wonder/9789354400322,, 230 mm
Seth Godin, Paperback,Home::Business & Economics::Business & management::Sales & marketing,, 154 mm, 0241370140, 9780241370148,, 288,₹620, Penguin Books Ltd, 15 Nov 2018,,,This is Marketing,https://www.bookswagon.com/book/this-marketing-seth-godin/9780241370148, 368 gr, 231 mm
TIFO, Hardback,Home::General,, 152 mm, 0241609372, 9780241609378, English, 224,₹489, Penguin Books Ltd, 17 Nov 2022, Y," 52 Rules for Understanding the Beautiful Game, on and Off the Pitch",How to Watch Football,https://www.bookswagon.com/book/how-watch-footballtifo-athletic/9780241609378, 385 gr, 150 mm
Dale Carnegie, Paperback,Home::General,, 1.7 mm, 9389931509, 9789389931501, Hindi, 224,₹107, Fingerprint! Publishing, 01 Mar 2020,,,How To Develop Self-Confidence And Influence People By Public Speaking (Hindi),https://www.bookswagon.com/book/how-develop-selfconfidence-influence-people/9789389931501, 250 gr, 12.6 mm
Dreamland Publications, PaperBack,Home::Children & Teens,, 220 mm, 9388371755, 9789388371759, English, 80,₹231, Dreamland Publications, 2019,,,365 Facts on Space,https://www.bookswagon.com/book/365-facts-space-dreamland-publications/9789388371759, 200 gr, 280 mm
Geronimo Stilton, Hardcover,Home::General,, 47 mm, 9390066875, 9789390066872, English, 320,₹390, Scholastic Inc, 30 Sep 2020,,,GERONIMO STILTON AND THE KINGDOM OF FANTASY #13:THE BATTLE FOR CRYSTAL CASTLE,https://www.bookswagon.com/book/geronimo-stilton-kingdom-fantasy-13/9789390066872, 295 gr, 254 mm
Tahereh Mafi, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya),, 129 mm, 140529177X, 9781405291774,, 320,₹324, Egmont UK Ltd, 05 Apr 2018, Y,,Ignite Me,https://www.bookswagon.com/book/ignite-me-tahereh-mafi/9781405291774, 294 gr, 197 mm
Dan Brown, Paperback,Home::Fiction::Thriller / suspense,, 178 mm, 0552161268, 9780552161268,, 624,₹364, Transworld Publishers Ltd, 28 Aug 2009,,,Angels And Demons,https://www.bookswagon.com/book/angels-demons-dan-brown/9780552161268, 332 gr, 111 mm
Lee J D, Paperback,Home::General,,, 8126515546, 9788126515547, English, 1068,₹909, Blackwell, 2012,,,"Concise Inorganic Chemistry, Ed.5",https://www.bookswagon.com/book/concise-inorganic-chemistry-ed5-lee/9788126515547,,
David McDuff, Paperback,Home::Fiction::Classic fiction, 51, 198 mm, 0140449248, 9780140449242, English, 960,₹333, Penguin Books, 29 Apr 2003, Y, A Novel in Four Parts and an Epilogue,Brothers Karamazov,https://www.bookswagon.com/book/brothers-karamazov-david-mcduff-fyodor/9780140449242, 1327 gr, 130 mm
Axel Scheffler, Hardback,Home::General,, 180 mm, 152904071X, 9781529040715,, 10,₹284, Pan MacMillan Childrens, 31 Dec 2020,,,"The Gruffalo: A Push, Pull and Slide Book",https://www.bookswagon.com/book/gruffalo-axel-scheffler-julia-donaldson/9781529040715, 332 gr, 180 mm
Kirti Pathak, Board Book,Home::General,, 19 mm, 9386410850, 9789386410856, English, 10,₹312, Om Books International, 02 Dec 2019,,,Board Book-Touch and Feel: Farm Friends,https://www.bookswagon.com/book/board-booktouch-feel-kirti-pathak/9789386410856, 350 gr, 19 mm
Axel Scheffler, Paperback,Home::General, 5, 280 mm, 1509804757, 9781509804757,, 32,₹284, Pan MacMillan, 21 Apr 2016, N,,The Gruffalo,https://www.bookswagon.com/book/gruffalo-axel-scheffler-julia-donaldson/9781509804757, 181 gr, 225 mm
Napoleon Hill , Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development",, 198 mm, 8186775552, 9788186775554, Hindi, 312,₹119, Manjul Publishing House, 2003, N,,Sochiye Aur Amir Baniye,https://www.bookswagon.com/book/sochiye-aur-amir-baniye-napoleon/9788186775554, 304 gr, 129 mm
 Solomon Northup, Paperback,Home::Biographies & Memoirs::Biography: general,, 16 mm, 8175994479, 9788175994478, English, 256 ,₹119, Fingerprint! Publishing, 07 May 2017, Y, A True Story,12 Years a Slave,https://www.bookswagon.com/book/12-years-a-slave-solomon/9788175994478, 700 gr, 194 mm
